Data;Total de casos;Casos por dia;Óbitos por dia;;;;;
20/fevereiro/2021;1971423;10859;244;;;;;
21/fevereiro/2021;1975927;4504;56;;;;;
22/fevereiro/2021;1978477;2550;43;;;;;
23/fevereiro/2021;1990554;12077;357;;;;;
24/fevereiro/2021;2002640;12086;329;;;;;
25/fevereiro/2021;2014529;11889;345;;;;;
26/fevereiro/2021;2026125;11596;256;;;;;
27/fevereiro/2021;2037267;11142;299;;;;;
28/fevereiro/2021;2041628;4361;65;;;;;
01/março/2021;2044699;3071;53;;;;;
02/março/2021;2054867;10168;468;;;;;
03/março/2021;2068616;13749;367;;;;;
04/março/2021;2080852;12236;313;;;;;
05/março/2021;2093924;13072;370;;;;;
06/março/2021;2107687;13763;353;;;;;
07/março/2021;2113738;6051;46;;;;;
08/março/2021;2117962;4224;121;;;;;
09/março/2021;2134020;16058;517;;;;;
10/março/2021;2149561;15541;469;;;;;
